中文,英文
小姐,Ms.
長輩,elder
祖父、外公,grandfather
母親,mother
親戚,relative
成長,grow
四,four
十,ten
十六,sixteen
四十,forty
百,hundred
最後,last
兩者(都),both
很多,much
傍(夜)晚,evening
週四,Thursday
週末,weekend
五月,May
十一月,November
秋天,fall
碼表,stop watch
片刻,moment
在…以前,ago
比較晚的,later
今天,today
日常的,daily
硬幣,coin
買,buy
花費,spend
番石榴,guava
梨子,pear
蔬菜,vegetable
堅果,nut
麵包,bread
蛋,egg
火腿,ham
豬肉,pork
湯,soup
晚餐,dinner
咖啡,coffee
牛奶,milk
蛋糕,cake
甜甜圈,doughnut
奶油、黃油,butter
醬油,soy-sauce
口渴的,thirsty
好吃的,yummy
點餐,order
叉子,fork
湯匙,spoon
牛仔褲,jeans
短褲,shorts
制服,uniform
(鴨舌)帽,cap
(寬圓)帽,hat
圍巾,scarf
雨傘,umbrella
鑽石,diamond
金(黃)色(的),golden
紅色(的),red
躲避球,dodge ball
游泳,swim
臥室,bedroom
椅子,chair
原子筆,pen
學習,learn
前面的,front
學校,school
腳踏車,bicycle
騎,ride
工人,worker
鳥,bird
大象,elephant
下雨的,rainy
去,go
給,give
放置,put
短的,short
錯的,wrong
她,she
和,and
牛、母牛,cow
老鷹,eagle
母雞,hen
羔羊,lamb
貓熊,panda
兔子,rabbit
野狼,wolf
鳥,bird
蝸牛,snail
魚,fish
咬,bite
保母,baby sitter
牛仔,cowboy
農夫,farmer
新聞記者,journalist
經理,manager
畫家,painter
銷售員,salesman
軍人,soldier
涼爽的,cool
天然的,natural
濕的,wet
雪,snow
吹,blow
雲,cloud
星星,star
來,come
想,think
喜歡,like
講,speak
教,teach
走路,walk
開始,start
付錢,pay
問,ask
長的,long
狹窄的,narrow
虛弱的,weak
新鮮的,fresh
冷的,cold
安靜的,quiet
特別的,special
錯的,FALSE
滿的,full
在…之中,in
為了,for
在附近,near
經常,often
再次,again
幾乎,almost
迅速地,quickly
如果,if
如何,how
它,it
她的,her
那些,those
很少,few
另一個,another
謝謝,thank you
保重,take care
什麼顏色,what color
第一次,first time
新年快樂,Happy New Year
啞的,dumb
超重的,over-weight
高的,tall
生氣的,angry
仔細、小心的,careful
體貼的,considerate
不誠實的,dishonest
愚蠢的,foolish
好的,good
幽默的,humorous
懶惰的,lazy
美好、體面的,nice
粗魯、無禮的,rude
機警、瀟灑的,smart
不快樂的,unhappy
頭髮,hair
腳踝,ankle
腳,foot
指甲,nail
腳趾,toe
蒼白的,pale
傷口,wound
牙痛,toothache
復原、恢復,recover
先生(尊稱),sir
家人、家庭,family
祖父、外公,grandpa
媽媽,mom
姐妹,sister
居住、(生/過)活,live
五,five
十一,eleven
十七,seventeen
五十,fifty
千,thousand
全部,all
很少,few
數字,number
夜晚,night
週五,Friday
月(份),month
六月,June
十二月,December
冬天,winter
早上,a.m.
整點(鐘),o'clock
已經,already
下個的,next
今晚,tonight
信用卡,credit card
索價,charge
便宜的,cheap
檸檬,lemon
鳳梨,pineapple
豆子,bean
洋蔥,onion
小圓麵包,bun
速食,fast food
漢堡,hamburger
米、飯,rice
義大利麵,spaghetti
午餐,lunch
可樂,cola
奶昔,milk shake
糖果,candy
冰淇淋,ice cream
番茄醬,ketchup
鹽,salt
苦的,bitter
烤、烘焙,bake
塗抹,spread
玻璃杯,glass
吸管,straw
睡衣,pajamas
裙子,skirt
內衣,underwear
梳子,comb
面具,mask
鞋子,shoe(s)
皮夾,wallet
金子,gold
灰色(的),gray
白色(的),white
橄欖球,football
跑步,run
廚房,kitchen
桌子,table
鉛筆,pencil
讀,read
後面,back
商店,store
摩托車,motorcycle
走路,walk
司機,driver
魚,fish
老虎,tiger
多雲的,cloudy
來,come
拿取,take
知道,know
新的,new
簡易的,easy
它,it
但是,but
鹿,deer
大象,elephant
河馬,hippo
獅子,lion
鸚鵡,parrot
老鼠,rat
斑馬,zebra
(小)蟲,bug
蛇,snake
鯊魚,shark
吞,swallow
理髮師,barber
牙醫,dentist
漁夫,fisherman
法官,judge
技師,mechanic
警官,police officer
科學家,scientist
男服務生,waiter
乾燥的,dry
下雨的,rainy
多風的,windy
雪人,snowman
下雨,rain
度、度數,degree
溫度、氣溫,temperature
看到,see
給,give
喜愛,love
講話,talk
玩,play
跑步,run
停止,stop
花費,cost
回答,answer
短的,short
厚的,thick
速度快的,fast
乾淨的,clean
溫暖的,warm
困難的,hard
不同的,different
免費的,free
空的,empty
在…上,on
關於,about
遠的,far
有時候,sometimes
也,also
或許,maybe
慢慢地,slowly
何時,when
什麼原因,why
我們,we
我們的,our
一些,some
幾乎沒有,little
不好意思,excuse me
祝你有美好的一天,have a good day
什麼尺寸,what size
很長時間,long time
