主題分組,中文1,英文2,中文2,英文3,中文3,英文4,中文4,英文5,中文5,英文6,中文6,英文7
衣物配件8,hole,洞,spot,斑、汙點,clothes,衣服,cotton,棉花,diamond,鑽石,gold,金子
衣物配件9,silver,銀子,iron,熨斗,wear,服裝,,,,,,
主題十三：顏色,,,,,,,,,,,,
顏色1,black,黑色(的),blue,藍色(的),brown,咖啡色(的),color,顏色,golden,金(黃)色(的),gray,灰色(的)
顏色2,green,綠色(的),orange,橙、橘色(的),pink,粉紅色(的),purple,紫色(的),red,紅色(的),white,白色(的)
顏色3,yellow,黃色(的),,,,,,,,,,
主題十四：運動、興趣和嗜好,,,,,,,,,,,,
運動、興趣和嗜好1,sports,運動,badminton,羽毛球,baseball,棒球,basketball,籃球,dodge ball,躲避球,football,橄欖球
運動、興趣和嗜好2,golf,高爾夫球,soccer,足球,tennis,網球,volleyball,排球,swim,游泳,run,跑步
運動、興趣和嗜好3,dance,跳舞,music,音樂,game,遊戲,movie,電影,,,,
主題十五：房屋和公寓,,,,,,,,,,,,
房屋和公寓1,house,房屋,home,家,apartment,公寓,room,房間,bedroom,臥室,kitchen,廚房
房屋和公寓2,bathroom,浴室,living room,客廳,door,門,window,窗戶,chair,椅子,table,桌子
房屋和公寓3,bed,床,sofa,沙發,,,,,,,,
主題十六：學校,,,,,,,,,,,,
學校1,school,學校,student,學生,teacher,老師,book,書,pen,原子筆,pencil,鉛筆
學校2,paper,紙,homework,功課,test,考試,study,研讀,learn,學習,read,讀
學校3,write,寫,,,,,,,,,,
主題十七：地方與位置,,,,,,,,,,,,
地方與位置1,here,這裡,there,那裏,left,左邊(的),right,右邊(的),front,前面的,back,後面
地方與位置2,middle,中間的,top,上面(的),bank,銀行,hospital,醫院,school,學校,store,商店
地方與位置3,restaurant,餐廳,park,公園,,,,,,,,
主題十八：交通運輸,,,,,,,,,,,,
交通運輸1,car,汽車,bus,公車,train,火車,airplane,飛機,bicycle,腳踏車,motorcycle,摩托車
交通運輸2,ship,船、艦,taxi,計程車,drive,駕駛,fly,駕駛(飛機),ride,騎,walk,走路
主題十九：其他重要單字,,,,,,,,,,,,
其他重要單字1,doctor,醫生,teacher,老師,nurse,護士,farmer,農夫,worker,工人,driver,司機
其他重要單字2,cook,廚師,student,學生,dog,狗,cat,貓,bird,鳥,fish,魚
其他重要單字3,pig,豬,cow,牛、母牛,chicken,雞,duck,鴨子,elephant,大象,tiger,老虎
其他重要單字4,lion,獅子,monkey,猴子,weather,天氣,sunny,陽光充足的,rainy,下雨的,cloudy,多雲的
其他重要單字5,hot,熱的,cold,冷的,warm,溫暖的,cool,涼爽的,go,去,come,來
其他重要單字6,see,看到,hear,聽到,say,說,tell,告訴,give,給,take,拿取
其他重要單字7,make,製作,do,做,have,有,get,得到,put,放置,know,知道
其他重要單字8,think,想,big,大的,small,小的,long,長的,short,短的,new,新的
其他重要單字9,old,老的,good,好的,bad,壞的,right,正確的,wrong,錯的,easy,簡易的
其他重要單字10,difficult,困難的,I,我,you,你,he,他,she,她,it,它
其他重要單字11,we,我們,they,他們,this,這個,that,那個,and,和,but,但是
其他重要單字12,or,或者,because,因為,,,,,,,,
主題二十：動物,,,,,,,,,,,,
動物1,animal,動物,bear,熊,cat,貓,chicken,雞,cow,牛、母牛,deer,鹿
動物2,dinosaur,恐龍,dog,狗,donkey,驢子,duck,鴨子,eagle,老鷹,elephant,大象
動物3,fox,狐狸,frog,青蛙,goat,山羊,goose,鵝,hen,母雞,hippo,河馬
動物4,horse,馬,kangaroo,袋鼠,kitten,小貓,koala,無尾熊,lamb,羔羊,lion,獅子
動物5,monkey,猴子,monster,怪物,mouse,老鼠,ox,牛,panda,貓熊,parrot,鸚鵡
動物6,pet,寵物,pig,豬,pigeon,鴿子,puppy,小狗,rabbit,兔子,rat,老鼠
動物7,sheep,綿羊,swan,天鵝,tiger,老虎,turkey,火雞,wolf,野狼,zebra,斑馬
動物8,insect,昆蟲,ant,螞蟻,bat,蝙蝠,bee,蜜蜂,bird,鳥,bug,(小)蟲
動物9,butterfly,蝴蝶,cockroach,蟑螂,dragon,龍,mosquito,蚊子,snail,蝸牛,snake,蛇
動物10,spider,蜘蛛,worm,(沒腳的)蟲,crab,螃蟹,dolphin,海豚,fish,魚,shark,鯊魚
動物11,shrimp,蝦子,turtle,烏龜,whale,鯨魚,bark,吠、叫,bite,咬,swallow,吞
動物12,tail,尾巴,wing,翅膀,,,,,,,,
主題二十一：職業,,,,,,,,,,,,
職業1,actor,男演員,actress,女演員,artist,藝術家,assistant,助理,baby sitter,保母,barber,理髮師
職業2,boss,上司、老闆,businessman,商人,clerk,店員,cook,廚師,cowboy,牛仔,dentist,牙醫
職業3,diplomat,外交官,doctor,醫生,driver,司機,engineer,工程師,farmer,農夫,fisherman,漁夫
職業4,guide,導遊,hair dresser,美髮師,housewife,家庭主婦,hunter,獵人,journalist,新聞記者,judge,法官
職業5,lawyer,律師,magician,魔術師,mailman,郵差,mail carrier,郵差,manager,經理,mechanic,技師
職業6,model,模特兒,musician,音樂家,nurse,護士,owner,老闆,painter,畫家,police officer,警官
職業7,president,總統、總裁,priest,神父、牧師,reporter,記者,sailor,水手,salesman,銷售員,scientist,科學家
職業8,secretary,秘書,servant,僕人,shopkeeper,店主,singer,歌手,soldier,軍人,waiter,男服務生
職業9,waitress,女服務生,worker,工人,writer,作家,vendor,小販,,,,
主題二十二：天氣與自然,,,,,,,,,,,,
天氣與自然1,weather,天氣,clear,晴朗的,cloudy,多雲的,cold,冷的,cool,涼爽的,dry,乾燥的
天氣與自然2,foggy,多霧的,freezing,極冷的,hot,熱的,humid,潮濕的,natural,天然的,rainy,下雨的
天氣與自然3,snowy,下雪的,stormy,暴風雨的,sunny,陽光充足的,warm,溫暖的,wet,濕的,windy,多風的
天氣與自然4,fog,霧,lightning,閃電,rainbow,彩虹,shower,陣雨,snow,雪,snowman,雪人
天氣與自然5,storm,暴風雨,thunder,雷,typhoon,颱風,wind,風,blow,吹,rain,下雨
天氣與自然6,shine,照耀,nature,(大)自然,air,空氣,climate,氣候,cloud,雲,degree,度、度數
天氣與自然7,earth,泥土、土地,moon,月亮,sky,天空,sun,太陽,star,星星,temperature,溫度、氣溫
主題二十三：常用動詞,,,,,,,,,,,,
常用動詞1,be,Be動詞,do,做,have,有,go,去,come,來,see,看到
常用動詞2,get,得到,make,製作,know,知道,take,拿取,think,想,give,給
常用動詞3,say,說,tell,告訴,put,放置,want,想要,like,喜歡,love,喜愛
常用動詞4,need,需要,help,幫忙,look,注視、看著,listen,(仔細)聽,speak,講,talk,講話
常用動詞5,read,讀,write,寫,learn,學習,study,研讀,teach,教,play,玩
常用動詞6,work,工作,eat,吃,drink,喝,sleep,睡覺,walk,走路,run,跑步
常用動詞7,sit,坐,stand,站立,open,打開,close,關閉,start,開始,stop,停止
常用動詞8,find,發現,lose,失去,buy,買,sell,賣,pay,付錢,cost,花費
常用動詞9,live,居住,move,移動,turn,轉,call,打電話,ask,問,answer,回答
主題二十四：形容詞,,,,,,,,,,,,
形容詞1,big,大的,small,小的,large,大的,little,小的,long,長的,short,短的
形容詞2,tall,高的,high,高的,low,低的,wide,寬的,narrow,狹窄的,thick,厚的
形容詞3,thin,瘦的,heavy,重的,light,輕的,strong,強壯的,weak,虛弱的,fast,速度快的
形容詞4,slow,慢的,new,新的,old,老的,young,年輕的,fresh,新鮮的,clean,乾淨的
形容詞5,dirty,髒的,beautiful,漂亮的,ugly,醜的,hot,熱的,cold,冷的,warm,溫暖的
形容詞6,cool,涼爽的,bright,明亮的,dark,黑暗的,loud,大聲的,quiet,安靜的,hard,困難的
形容詞7,easy,簡易的,difficult,困難的,simple,簡單的,important,重要的,special,特別的,different,不同的
形容詞8,same,一樣的,right,正確的,wrong,錯的,true,真實的,false,錯的,free,免費的
形容詞9,expensive,昂貴的,cheap,便宜的,rich,富有的,poor,貧窮的,full,滿的,empty,空的
形容詞10,busy,忙碌的,ready,準備好的,safe,安全的,dangerous,危險的,,,,
主題二十五：副詞與介詞,,,,,,,,,,,,
副詞與介詞1,here,這裡,there,那裏,up,往上,down,往下,in,在…之中,on,在…上
副詞與介詞2,at,在,to,到…,from,從,with,和,for,為了,about,關於
副詞與介詞3,before,在…之前,after,在…之後,under,在…之下,over,在…之上,near,在附近,far,遠的
副詞與介詞4,inside,在…裡面,outside,在…之外,always,總是,never,從不,often,經常,sometimes,有時候
副詞與介詞5,usually,慣常地,already,已經,still,仍然,yet,尚未,again,再次,also,也
副詞與介詞6,too,也,very,非常,really,真地,quite,相當地,almost,幾乎,maybe,或許
副詞與介詞7,perhaps,或許,probably,或許,finally,最後,suddenly,突然地,quickly,迅速地,slowly,慢慢地
副詞與介詞8,carefully,小心地,easily,容易地,,,,,,,,
主題二十六：連接詞與代詞,,,,,,,,,,,,
連接詞與代詞1,and,和,but,但是,or,或者,because,因為,if,如果,when,何時
連接詞與代詞2,where,何地,what,什麼,who,什麼人,which,哪一個,how,如何,why,什麼原因
連接詞與代詞3,I,我,you,你,he,他,she,她,it,它,we,我們
連接詞與代詞4,they,他們,my,我的,your,你的,his,他的,her,她的,our,我們的
連接詞與代詞5,their,他們的,this,這個,that,那個,these,這些,those,那些,some,一些
連接詞與代詞6,any,任何,all,全部,many,很多,much,很多,few,很少,little,幾乎沒有
連接詞與代詞7,both,兩者都,each,每一個,every,每個,other,其他的,another,另一個,,
主題二十七：常用短語,,,,,,,,,,,,
常用短語1,good morning,早安,good afternoon,下午好,good evening,晚安,good night,晚安,thank you,謝謝,excuse me,不好意思
常用短語2,I'm sorry,對不起,how are you,你好嗎,nice to meet you,很高興見到你,see you later,待會見,take care,保重,have a good day,祝你有美好的一天
常用短語3,what time,幾點,how much,多少錢,how many,多少個,how old,幾歲,what color,什麼顏色,what size,什麼尺寸
常用短語4,right now,現在,just now,剛才,next time,下次,last time,上次,first time,第一次,long time,很長時間
常用短語5,short time,短時間,good luck,祝好運,happy birthday,生日快樂,Merry Christmas,聖誕快樂,Happy New Year,新年快樂,,
